timestamp,open,high,low,close,volume
2023-05-25,46.16,46.56,45.54,46.52,5818.18
2023-05-26,46.49,47.3,45.43,47.02,9597.1
2023-05-27,47.05,48.03,46.02,47.19,9827.62
2023-05-28,47.24,49.6,47.11,49.41,13758.74
2023-05-29,49.45,50.11,48.58,49.09,8837.4
2023-05-30,49.09,50.37,48.95,49.36,7984.18
2023-05-31,49.4,49.73,47.99,48.65,4946.41
2023-06-01,48.69,49.23,47.95,48.71,4616.86
2023-06-02,48.69,49.85,48.28,49.3,9698.5
2023-06-03,49.23,49.6,48.42,49.04,4520.7
2023-06-04,49.03,50.68,49.01,49.28,7648.66
2023-06-05,49.32,49.84,46.76,47.38,10795.98
2023-06-06,47.32,51.43,46.45,48.78,24470.16
2023-06-07,48.7,50.5,47.03,47.21,14614.51
2023-06-08,47.16,48.04,46.88,47.09,5588.86
2023-06-09,47.11,48.12,46.9,47.47,5114.73
2023-06-10,47.51,47.95,43.05,43.87,24507.26
2023-06-11,43.91,44.65,43.65,44.1,4158.45
2023-06-12,44.05,44.33,39.2,41.15,35171.87
2023-06-13,41.12,41.92,40.76,41.33,8229.67
2023-06-14,41.3,41.66,39.0,39.08,10161.12
2023-06-15,39.06,40.21,38.2,40.02,8885.62
2023-06-16,40.08,41.91,39.58,41.16,5521.57
2023-06-17,41.19,42.19,40.9,41.28,3888.65
2023-06-18,41.3,41.87,41.0,41.05,2189.84
2023-06-19,41.04,41.05,40.03,40.56,5006.65
2023-06-20,40.51,42.48,40.0,41.81,17041.47
2023-06-21,41.76,42.76,39.51,41.19,27517.23
2023-06-22,41.16,42.13,40.63,40.87,17984.74
2023-06-23,40.81,41.14,39.95,40.56,11235.78
2023-06-24,40.58,40.8,36.63,38.41,24348.62
2023-06-25,38.37,39.39,37.76,38.57,12620.4
2023-06-26,38.61,39.0,37.19,37.53,8782.78
2023-06-27,37.54,38.93,37.0,38.11,21251.15
2023-06-28,38.16,38.16,36.63,36.69,9235.18
2023-06-29,36.67,37.47,36.4,37.28,9150.46
2023-06-30,37.31,39.2,36.52,38.6,25596.13
2023-07-01,38.66,39.0,37.6,37.64,24470.17
2023-07-02,37.62,38.88,35.62,37.89,39298.41
2023-07-03,37.95,39.8,37.7,39.1,26074.28
2023-07-04,39.12,39.46,38.25,38.65,12082.55
2023-07-05,38.66,39.2,37.55,38.18,7276.58
2023-07-06,38.2,39.52,36.91,36.91,12206.54
2023-07-07,36.91,37.34,36.14,36.33,11852.82
2023-07-08,36.3,36.95,35.94,36.23,5880.12
2023-07-09,36.22,36.65,35.98,36.17,3752.46
2023-07-10,36.21,36.57,35.46,35.69,10163.19
2023-07-11,35.71,36.83,35.63,36.4,16695.23
2023-07-12,36.45,36.71,35.73,35.85,10918.19
2023-07-13,35.88,38.38,35.34,38.1,23021.19
2023-07-14,38.08,39.7,35.9,36.73,28027.52
2023-07-15,36.74,37.27,36.18,36.29,14324.26
2023-07-16,36.28,36.53,35.65,35.79,6838.82
2023-07-17,35.79,35.97,33.93,34.85,16637.55
2023-07-18,34.86,35.22,33.68,33.84,12500.81
2023-07-19,33.8,34.32,32.39,32.73,19888.44
2023-07-20,32.66,33.46,30.01,30.3,49833.45
2023-07-21,30.31,31.07,29.8,30.9,36399.83
2023-07-22,30.89,31.24,30.38,30.61,12751.03
2023-07-23,30.58,32.45,30.46,32.13,13882.27
2023-07-24,32.12,32.5,29.38,29.67,28320.53
2023-07-25,29.7,30.2,29.57,29.57,13267.8
2023-07-26,29.58,30.0,27.9,29.51,13421.72
2023-07-27,29.52,30.25,29.4,29.87,11436.09
2023-07-28,29.84,29.9,29.03,29.45,16763.66
2023-07-29,29.44,29.53,29.15,29.5,6161.0
2023-07-30,29.51,29.7,29.0,29.48,7409.72
2023-07-31,29.51,29.86,29.0,29.15,11300.29
2023-08-01,29.11,37.13,28.34,30.03,276027.13
2023-08-02,30.01,30.23,28.71,28.86,35959.25
2023-08-03,28.86,29.35,28.2,28.28,14678.92
2023-08-04,28.26,28.35,27.75,28.04,11356.08
2023-08-05,28.02,28.17,27.72,27.99,6206.73
2023-08-06,27.97,28.35,27.68,28.04,6746.37
2023-08-07,28.04,28.18,26.31,26.88,16962.79
2023-08-08,26.88,27.05,24.85,25.25,41138.66
2023-08-09,25.26,27.76,24.42,27.58,58316.4
2023-08-10,27.58,29.33,26.83,28.75,157311.5
2023-08-11,28.77,28.87,27.15,27.16,32431.81
2023-08-12,27.18,27.77,27.14,27.45,10598.3
2023-08-13,27.43,27.59,26.67,26.74,12092.03
2023-08-14,26.71,27.62,26.62,27.13,20251.15
2023-08-15,27.08,27.49,25.7,26.45,30232.83
2023-08-16,26.49,28.45,25.73,27.4,72261.13
2023-08-17,27.4,27.98,24.25,25.63,42331.06
2023-08-18,25.62,26.34,24.21,24.64,35709.05
2023-08-19,24.65,25.26,24.28,25.13,12036.23
2023-08-20,25.12,25.29,24.71,25.09,5184.99
2023-08-21,25.04,25.07,24.34,24.94,5977.21
2023-08-22,24.93,25.11,23.33,23.67,16080.88
2023-08-23,23.68,24.99,23.58,24.62,6256.36
2023-08-24,24.61,24.72,23.67,23.99,7869.06
2023-08-25,24.03,24.41,23.43,23.57,6095.76
2023-08-26,23.58,23.71,22.64,22.64,6096.99
2023-08-27,22.66,24.0,22.61,22.97,8526.15
2023-08-28,23.01,23.59,22.64,22.92,9775.36
2023-08-29,22.94,24.43,22.67,23.89,13500.72
2023-08-30,23.93,25.11,23.7,23.81,39598.02
2023-08-31,23.83,24.08,22.28,22.39,26376.45
2023-09-01,22.35,22.66,21.63,22.14,12106.72
2023-09-02,22.1,22.53,21.81,22.16,5914.27
2023-09-03,22.12,22.16,21.19,21.98,11580.55
2023-09-04,21.95,29.0,21.95,23.91,269275.16
2023-09-05,23.95,24.27,23.12,23.22,25976.59
2023-09-06,23.19,23.73,22.49,23.08,17750.94
2023-09-07,23.1,23.99,22.85,23.64,12960.31
2023-09-08,23.66,23.99,23.0,23.26,10428.4
2023-09-09,23.26,23.59,23.02,23.31,7693.93
2023-09-10,23.29,23.52,22.63,22.92,6914.09
2023-09-11,22.91,22.94,21.28,21.55,13456.25
2023-09-12,21.55,22.81,21.55,22.1,5316.44
2023-09-13,22.14,22.33,21.74,21.92,4682.37
2023-09-14,21.94,22.92,21.94,22.13,13773.51
2023-09-15,22.14,22.47,21.98,22.32,5359.85
2023-09-16,22.3,23.62,22.17,23.03,14580.12
2023-09-17,23.04,23.42,22.45,22.51,10933.72
